formal_name,gsid,year,month,day,day_hour,hourly_avg
Kathmandu Airport,366,2015,1,15,18,184.5
Kathmandu Airport,366,2015,1,15,19,60
Kathmandu Airport,366,2015,1,15,20,51
Kathmandu Airport,366,2015,1,15,21,58.75
Kathmandu Airport,366,2015,1,15,22,106.25
Kathmandu Airport,366,2015,1,15,23,105.75
Kathmandu Airport,366,2015,1,16,0,72.75
Kathmandu Airport,366,2015,1,16,1,115.25
Kathmandu Airport,366,2015,1,16,2,140.5
Kathmandu Airport,366,2015,1,16,3,94.5
Kathmandu Airport,366,2015,1,16,4,107.25
Kathmandu Airport,366,2015,1,16,5,181.3333333
Kathmandu Airport,366,2015,1,16,6,162
Kathmandu Airport,366,2015,1,16,7,178.5
Kathmandu Airport,366,2015,1,16,8,226.75
Kathmandu Airport,366,2015,1,16,9,214.5
Kathmandu Airport,366,2015,1,16,10,194
Kathmandu Airport,366,2015,1,16,11,205.5
Kathmandu Airport,366,2015,1,16,12,172.75
Kathmandu Airport,366,2015,1,16,13,262.25
Kathmandu Airport,366,2015,1,16,14,151.25
Kathmandu Airport,366,2015,1,16,15,30.25
Kathmandu Airport,366,2015,1,16,16,28.5
Kathmandu Airport,366,2015,1,16,17,37.5
Kathmandu Airport,366,2015,1,16,18,73.75
Kathmandu Airport,366,2015,1,16,19,64
Kathmandu Airport,366,2015,1,16,20,116.5
Kathmandu Airport,366,2015,1,16,21,152.75
Kathmandu Airport,366,2015,1,16,22,237.5
Kathmandu Airport,366,2015,1,16,23,138.5
Kathmandu Airport,366,2015,1,17,0,130.5
Kathmandu Airport,366,2015,1,17,1,68.25
Kathmandu Airport,366,2015,1,17,2,173.75
Kathmandu Airport,366,2015,1,17,3,161.25
Kathmandu Airport,366,2015,1,17,4,223.25
Kathmandu Airport,366,2015,1,17,5,173.25
Kathmandu Airport,366,2015,1,17,6,184
Kathmandu Airport,366,2015,1,17,7,184.75
Kathmandu Airport,366,2015,1,17,8,248.5
Kathmandu Airport,366,2015,1,17,9,232.5
Kathmandu Airport,366,2015,1,17,10,195
Kathmandu Airport,366,2015,1,17,11,275.75
Kathmandu Airport,366,2015,1,17,12,306.5
Kathmandu Airport,366,2015,1,17,13,152.5
Kathmandu Airport,366,2015,1,17,14,144.5
Kathmandu Airport,366,2015,1,17,15,94.5
Kathmandu Airport,366,2015,1,17,16,80
Kathmandu Airport,366,2015,1,17,17,48
Kathmandu Airport,366,2015,1,17,18,130.25
Kathmandu Airport,366,2015,1,17,19,92.75
Kathmandu Airport,366,2015,1,17,20,47.75
Kathmandu Airport,366,2015,1,17,21,91.25
Kathmandu Airport,366,2015,1,17,22,48.75
